           k      D^2_lin
1.249360E-03 4.481945E-07
1.261910E-03 4.660713E-07
1.274590E-03 4.846618E-07
1.287400E-03 5.039924E-07
1.300340E-03 5.240959E-07
1.313410E-03 5.450012E-07
1.326610E-03 5.667258E-07
1.339940E-03 5.893118E-07
1.353410E-03 6.128020E-07
1.367010E-03 6.372186E-07
1.380750E-03 6.626001E-07
1.394630E-03 6.889962E-07
1.408640E-03 7.164245E-07
1.422800E-03 7.449559E-07
1.437100E-03 7.746101E-07
1.451540E-03 8.054278E-07
1.466130E-03 8.374736E-07
1.480870E-03 8.708020E-07
1.495750E-03 9.054273E-07
1.510780E-03 9.414204E-07
1.525970E-03 9.788669E-07
1.541300E-03 1.017758E-06
1.556790E-03 1.058188E-06
1.572440E-03 1.100248E-06
1.588240E-03 1.143934E-06
1.604200E-03 1.189345E-06
1.620330E-03 1.236587E-06
1.636610E-03 1.285654E-06
1.653060E-03 1.336674E-06
1.669670E-03 1.389685E-06
1.686450E-03 1.444794E-06
1.703400E-03 1.502092E-06
1.720520E-03 1.561628E-06
1.737810E-03 1.623515E-06
1.755280E-03 1.687859E-06
1.772920E-03 1.754694E-06
1.790740E-03 1.824185E-06
1.808730E-03 1.896370E-06
1.826910E-03 1.971429E-06
1.845270E-03 2.049424E-06
1.863820E-03 2.130506E-06
1.882550E-03 2.214765E-06
1.901470E-03 2.302314E-06
1.920580E-03 2.393296E-06
1.939880E-03 2.487836E-06
1.959380E-03 2.586113E-06
1.979070E-03 2.688210E-06
1.998960E-03 2.794317E-06
2.019050E-03 2.904582E-06
2.039340E-03 3.019152E-06
2.059840E-03 3.138242E-06
2.080540E-03 3.261956E-06
2.101450E-03 3.390521E-06
2.122570E-03 3.524074E-06
2.143900E-03 3.662871E-06
2.165450E-03 3.807089E-06
2.187210E-03 3.956893E-06
2.209190E-03 4.112555E-06
2.231400E-03 4.274361E-06
2.253820E-03 4.442379E-06
2.276470E-03 4.616986E-06
2.299350E-03 4.798369E-06
2.322460E-03 4.986821E-06
2.345800E-03 5.182594E-06
2.369380E-03 5.386040E-06
2.393190E-03 5.597282E-06
2.417240E-03 5.816749E-06
2.441540E-03 6.044832E-06
2.466070E-03 6.281642E-06
2.490860E-03 6.527793E-06
2.515890E-03 6.783339E-06
2.541180E-03 7.048822E-06
2.566720E-03 7.324642E-06
2.592510E-03 7.611005E-06
2.618570E-03 7.908601E-06
2.644890E-03 8.217621E-06
2.671470E-03 8.538558E-06
2.698320E-03 8.871961E-06
2.725430E-03 9.218040E-06
2.752820E-03 9.577610E-06
2.780490E-03 9.951044E-06
2.808440E-03 1.033894E-05
2.836660E-03 1.074167E-05
2.865170E-03 1.115992E-05
2.893960E-03 1.159409E-05
2.923050E-03 1.204518E-05
2.952430E-03 1.251363E-05
2.982100E-03 1.299991E-05
3.012070E-03 1.350479E-05
3.042340E-03 1.402910E-05
3.072920E-03 1.457369E-05
3.103800E-03 1.513892E-05
3.134990E-03 1.572570E-05
3.166500E-03 1.633516E-05
3.198330E-03 1.696790E-05
3.230470E-03 1.762453E-05
3.262940E-03 1.830649E-05
3.295730E-03 1.901424E-05
3.328850E-03 1.974890E-05
3.362310E-03 2.051186E-05
3.396100E-03 2.130363E-05
3.430230E-03 2.212569E-05
3.464710E-03 2.297885E-05
3.499530E-03 2.386443E-05
3.534700E-03 2.478353E-05
3.570220E-03 2.573761E-05
3.606100E-03 2.672786E-05
3.642340E-03 2.775520E-05
3.678950E-03 2.882184E-05
3.715920E-03 2.992882E-05
3.753270E-03 3.107748E-05
3.790990E-03 3.226963E-05
3.829090E-03 3.350633E-05
3.867570E-03 3.478986E-05
3.906440E-03 3.612179E-05
3.945700E-03 3.750376E-05
3.985360E-03 3.893784E-05
